team,season,typical_batting_order,left_hand_top6_pct,aggressive_opener_pct,powerplay_sr,middle_sr,death_sr,vs_spin_economy,vs_pace_economy,vs_leftarm_economy,vs_legspin_economy,vs_offspin_economy,vs_leftarm_spin_economy,chase_win_pct,defend_win_pct,likely_bowling_order,powerplay_bowling_economy,death_bowling_economy,pace_overs_pct,spin_overs_pct,is_estimated
Islamabad United,0,"{""1"": ""Sahibzada Farhan"", ""2"": ""AD Hales"", ""3"": ""C Munro"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Imad Wasim""}",0,43.8,132.5,128.7,157.5,7.63,8.41,7.89,7.72,7.84,7.48,65.1,34.9,"{""1"": ""Naseem Shah"", ""2"": ""Faheem Ashraf"", ""3"": ""Naseem Shah"", ""4"": ""Faheem Ashraf"", ""5"": ""Faheem Ashraf"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Shadab Khan"", ""16"": ""Shadab Khan"", ""17"": ""Hasan Ali"", ""18"": ""Hasan Ali"", ""19"": ""Naseem Shah"", ""20"": ""Faheem Ashraf""}",7.7,9.82,18.8,23.4,FALSE
Islamabad United,2016,"{""1"": ""SR Watson"", ""2"": ""Sharjeel Khan"", ""3"": ""BJ Haddin"", ""4"": ""Khalid Latif"", ""5"": ""AD Russell"", ""6"": ""Misbah-ul-Haq"", ""7"": ""Azhar Mahmood"", ""8"": ""Imran Khalid""}",16.7,27.3,110.6,120,140.6,6.46,6.67,6.67,6.44,6.46,6.47,71.4,28.6,"{""1"": ""Mohammad Irfan"", ""2"": ""Imran Khalid"", ""3"": ""Mohammad Irfan"", ""4"": ""Rumman Raees"", ""5"": ""Mohammad Sami"", ""6"": ""Rumman Raees"", ""7"": ""S Badree"", ""8"": ""AD Russell"", ""9"": ""S Badree"", ""10"": ""Imran Khalid"", ""11"": ""S Badree"", ""12"": ""Imran Khalid"", ""13"": ""S Badree"", ""14"": ""SR Watson"", ""15"": ""AD Russell"", ""16"": ""Mohammad Irfan"", ""17"": ""Mohammad Sami"", ""18"": ""Mohammad Sami"", ""19"": ""AD Russell"", ""20"": ""Rumman Raees""}",6.21,9.06,0,0.5,FALSE
Islamabad United,2017,"{""1"": ""DR Smith"", ""2"": ""Rafatullah Mohmand"", ""3"": ""BJ Haddin"", ""4"": ""Misbah-ul-Haq"", ""5"": ""SR Watson"", ""6"": ""Asif Ali"", ""7"": ""Shadab Khan"", ""8"": ""Mohammad Sami""}",0,22.2,100,119.8,158.7,5.97,6.72,6.72,6.33,5.97,5.61,50,50,"{""1"": ""Mohammad Irfan"", ""2"": ""Mohammad Sami"", ""3"": ""Mohammad Irfan"", ""4"": ""Rumman Raees"", ""5"": ""Mohammad Irfan"", ""6"": ""Rumman Raees"", ""7"": ""Shadab Khan"", ""8"": ""Saeed Ajmal"", ""9"": ""Shadab Khan"", ""10"": ""SR Watson"", ""11"": ""Amad Butt"", ""12"": ""SR Watson"", ""13"": ""Rumman Raees"", ""14"": ""Mohammad Sami"", ""15"": ""Mohammad Irfan"", ""16"": ""SR Watson"", ""17"": ""Rumman Raees"", ""18"": ""Mohammad Sami"", ""19"": ""Rumman Raees"", ""20"": ""Mohammad Sami""}",7.47,8.32,0,19.1,FALSE
Islamabad United,2018,"{""1"": ""L Ronchi"", ""2"": ""Sahibzada Farhan"", ""3"": ""AD Hales"", ""4"": ""Asif Ali"", ""5"": ""Hussain Talat"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""AD Russell""}",16.7,50,134.7,117.7,151.8,6.69,9.34,8.94,6.75,7.75,6.21,66.7,33.3,"{""1"": ""SR Patel"", ""2"": ""Mohammad Sami"", ""3"": ""SR Patel"", ""4"": ""Mohammad Sami"", ""5"": ""SR Patel"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Faheem Ashraf"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""AD Russell"", ""14"": ""Shadab Khan"", ""15"": ""Faheem Ashraf"", ""16"": ""Faheem Ashraf"", ""17"": ""AD Russell"", ""18"": ""Mohammad Sami"", ""19"": ""Mohammad Sami"", ""20"": ""Mohammad Sami""}",6.45,8.83,17.1,30.5,FALSE
Islamabad United,2019,"{""1"": ""L Ronchi"", ""2"": ""CS Delport"", ""3"": ""PD Salt"", ""4"": ""CAK Walton"", ""5"": ""Asif Ali"", ""6"": ""Shadab Khan"", ""7"": ""Faheem Ashraf"", ""8"": ""SR Patel""}",0,50,118.9,132.6,150.2,7.57,9.61,10.59,0,9,7.5,66.7,33.3,"{""1"": ""Mohammad Sami"", ""2"": ""Muhammad Musa"", ""3"": ""Rumman Raees"", ""4"": ""Muhammad Musa"", ""5"": ""SR Patel"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Mohammad Sami"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Rumman Raees"", ""16"": ""Mohammad Sami"", ""17"": ""Faheem Ashraf"", ""18"": ""Rumman Raees"", ""19"": ""Faheem Ashraf"", ""20"": ""Mohammad Sami""}",8.51,9.23,18.9,24.1,FALSE
Islamabad United,2020,"{""1"": ""L Ronchi"", ""2"": ""C Munro"", ""3"": ""DJ Malan"", ""4"": ""CA Ingram"", ""5"": ""Asif Ali"", ""6"": ""Rizwan Hussain"", ""7"": ""Faheem Ashraf"", ""8"": ""Amad Butt""}",0,33.3,141.3,144.3,153.5,7.38,7.98,6.83,9,4,8,50,50,"{""1"": ""Muhammad Musa"", ""2"": ""Akif Javed"", ""3"": ""Muhammad Musa"", ""4"": ""Akif Javed"", ""5"": ""Muhammad Musa"", ""6"": ""Akif Javed"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Ahmed Safi Abdullah"", ""13"": ""Shadab Khan"", ""14"": ""Ahmed Safi Abdullah"", ""15"": ""Amad Butt"", ""16"": ""Akif Javed"", ""17"": ""Amad Butt"", ""18"": ""Muhammad Musa"", ""19"": ""Shadab Khan"", ""20"": ""Faheem Ashraf""}",8.73,10.78,23.6,30.5,FALSE
Islamabad United,2021,"{""1"": ""UT Khawaja"", ""2"": ""C Munro"", ""3"": ""Muhammad Akhlaq"", ""4"": ""Hussain Talat"", ""5"": ""Iftikhar Ahmed"", ""6"": ""Asif Ali"", ""7"": ""L Gregory"", ""8"": ""Faheem Ashraf""}",16.7,25,139.8,131.4,164.2,9.4,9.25,7.83,16,7,8.75,75,25,"{""1"": ""Hasan Ali"", ""2"": ""Faheem Ashraf"", ""3"": ""Hasan Ali"", ""4"": ""Mohammad Wasim"", ""5"": ""Hasan Ali"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Faheem Ashraf"", ""16"": ""Mohammad Wasim"", ""17"": ""Hasan Ali"", ""18"": ""Mohammad Wasim"", ""19"": ""Hasan Ali"", ""20"": ""Hasan Ali""}",7.01,9.04,20.1,23.4,FALSE
Islamabad United,2022,"{""1"": ""PR Stirling"", ""2"": ""AD Hales"", ""3"": ""C Munro"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Hasan Ali""}",0,83.3,156,129.6,145.3,7.11,7.8,7.03,5.25,9,7.11,40,60,"{""1"": ""Hasan Ali"", ""2"": ""Faheem Ashraf"", ""3"": ""Mohammad Wasim"", ""4"": ""Faheem Ashraf"", ""5"": ""Mohammad Wasim"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Hasan Ali"", ""10"": ""Shadab Khan"", ""11"": ""Hasan Ali"", ""12"": ""Shadab Khan"", ""13"": ""Waqas Maqsood"", ""14"": ""Shadab Khan"", ""15"": ""Mohammad Wasim"", ""16"": ""Faheem Ashraf"", ""17"": ""Hasan Ali"", ""18"": ""Hasan Ali"", ""19"": ""Mohammad Wasim"", ""20"": ""Hasan Ali""}",8.06,11.93,15.6,13.5,FALSE
Islamabad United,2023,"{""1"": ""Rahmanullah Gurbaz"", ""2"": ""AD Hales"", ""3"": ""HE van der Dussen"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""TK Curran""}",0,36.4,147.6,124.4,192.8,8.12,7.93,8.24,9,8.48,7.53,83.3,16.7,"{""1"": ""Fazalhaq Farooqi"", ""2"": ""Hasan Ali"", ""3"": ""Fazalhaq Farooqi"", ""4"": ""Faheem Ashraf"", ""5"": ""Hasan Ali"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Hasan Ali"", ""15"": ""Shadab Khan"", ""16"": ""Mohammad Wasim"", ""17"": ""TK Curran"", ""18"": ""Mohammad Wasim"", ""19"": ""TK Curran"", ""20"": ""Rumman Raees""}",9.27,9.92,16.5,23.7,FALSE
Islamabad United,2024,"{""1"": ""C Munro"", ""2"": ""AD Hales"", ""3"": ""Agha Salman"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Haider Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Imad Wasim""}",0,41.7,124.9,142.9,152.6,8.16,8.68,8.36,9.58,7.86,6.35,75,25,"{""1"": ""Naseem Shah"", ""2"": ""Imad Wasim"", ""3"": ""Naseem Shah"", ""4"": ""Faheem Ashraf"", ""5"": ""Imad Wasim"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Imad Wasim"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Faheem Ashraf"", ""15"": ""Shadab Khan"", ""16"": ""Shadab Khan"", ""17"": ""Naseem Shah"", ""18"": ""Naseem Shah"", ""19"": ""Rumman Raees"", ""20"": ""Naseem Shah""}",7.25,10.17,41.9,34.5,FALSE
