A Lyth
AB de Villiers
AD Hales
AD Russell
ADS Fletcher
AF Milne
AGS Gous
AJ Hosein
AJ Turner
AJ Tye
AM Rossington
AP Devcich
AW Summers
Aamer Azmat
Aamer Jamal
Aamer Yamin
Abbas Afridi
Abdul Bangalzai
Abdul Nasir
Abdur Rehman
Adil Amin
Adnan Rasool
Aftab Ibrahim
Agha Salman
Ahmed Safi Abdullah
Ahmed Shehzad
Ahsan Ali
Ahsan Hafeez
Aimal Khan
Aizaz Cheema
Akbar-ur-Rehman
Ali Khan
Ali Majid
Ali Shafiq
Anamul Haque
Anwar Ali
Arif Yaqoob
Arish Ali
Asad Shafiq
Ashar Zaidi
Ashir Qureshi
Athar Mahmood
Awais Zia
Azhar Ali
Azhar Mahmood
Azmatullah Omarzai
B Laughlin
B Muzarabani
BA King
BAC Howell
BAW Mendis
BB McCullum
BCJ Cutting
BJ Dwarshuis
BJ Haddin
BJ Hodge
BKG Mendis
BM Duckett
BR Dunk
BRM Taylor
Bilal Asif
Bilawal Bhatti
C Campher
C Munro
CA Ingram
CA Lynn
CAK Walton
CH Gayle
CJ Anderson
CJ Green
CJ Jordan
CR Brathwaite
CS Delport
D Madushanka
D Pretorius
D Ramdin
D Wiese
DA Miller
DA Warner
DAS Gunaratne
DJ Bravo
DJ Malan
DJ Mitchell
DJ Vilas
DJ Willey
DJG Sammy
DM Bravo
DPMD Jayawardene
DR Mousley
DR Sams
DR Smith
DT Christian
DW Steyn
Danish Aziz
Dilbar Hussain
E Chigumbura
EJG Morgan
Ehsan Adil
F du Plessis
FA Allen
FH Allen
Faizan Khan
Fawad Ahmed
Fazalhaq Farooqi
GC Viljoen
GD Elliott
GF Linde
Gauhar Ali
Ghazi Ghori
Ghulam Mudassar
Gulraiz Sadaf
HC Brook
HE van der Dussen
HF Gurney
Hamayun Altaf
Haris Sohail
Hazratullah
IA Cockbain
IR Bell
Ibtisam Sheikh
Imam-ul-Haq
Imran Khalid
Imran Khan
Imran Khan (1)
Imran Khan (2)
Imran Tahir
Irfan Khan
Izharulhaq Naveed
J Allenby
J Charles
J Little
J Weatherald
JA Thompson
JC Archer
JD Wildermuth
JDS Neesham
JJ Roy
JK Fuller
JL Denly
JL du Plooy
JM Bairstow
JM Clarke
JM Cox
JM Vince
JO Holder
JP Duminy
JP Faulkner
JW Hastings
JW Wells
Junaid Khan
KA Jamieson
KA Pollard
KC Sangakkara
KJ Abbott
KK Cooper
KP Pietersen
KR Mayers
Kamran Akmal
Kashif Bhatti
Khalid Latif
Khurram Manzoor
Khurram Shahzad
L Gregory
L Ronchi
L Wood
LA Dawson
LD Chandimal
LJ Evans
LJ Wright
LMP Simmons
LS Livingstone
M Bryant
M de Lange
MD Shanaka
MDKJ Perera
MG Bracewell
MH Wessels
MJ Guptill
MJ McClenaghan
MJ Owen
MM Ali
MN Samuels
MN van Wyk
MS Chapman
MS Wade
MW Forde
Mahmudullah
Mirza Baig
Misbah-ul-Haq
Mohammad Abbas
Mohammad Asghar
Mohammad Azab
Mohammad Hafeez
Mohammad Huraira
Mohammad Ilyas
Mohammad Imran
Mohammad Imran (2)
Mohammad Irfan
Mohammad Irfan (4)
Mohammad Irfan (5)
Mohammad Mohsin
Mohammad Nabi
Mohammad Nawaz (3)
Mohammad Sami
Mohammad Taha
Mohammad Umar
Mohammad Zeeshan
Mubasir Khan
Muhammad Akhlaq
Muhammad Faizan
Muhammad Musa
Muhammad Naeem
Muhammad Riazullah
Mujeeb Ur Rahman
Mukhtar Ahmed
Mushfiqur Rahim
N Pooran
N Thushara
NL McCullum
NLTC Perera
Nabi Gul
Najibullah Zadran
Nasir Nawaz
Nauman Ali
Nauman Anwar
Naved Yasin
Naveen-ul-Haq
Noor Ahmad
OC McCoy
OF Smith
OP Stone
Omair Yousuf
P Hatzoglou
PBB Rajapaksa
PD Salt
PI Walter
PR Brown
PR Stirling
Qais Ahmad
Qasim Akram
R Powell
RA Whiteley
RN ten Doeschate
RP Meredith
RR Emrit
RR Hendricks
RS Bopara
Rafatullah Mohmand
Rahat Ali
Rahmanullah Gurbaz
Raja Farzan
Rameez Raja (2)
Rashid Khan
Raza Hasan
Rizwan Hussain
Rohail Nazir
Rumman Raees
S Badree
S Dadswell
S Lamichhane
S Mahmood
S Prasanna
SA Abbott
SD Hope
SE Rutherford
SM Ervine
SO Hetmyer
SP Narine
SR Patel
SR Watson
SS Cottrell
ST Finn
SW Billings
SW Tait
Saad Nasim
Sabbir Rahman
Saeed Ajmal
Saif Badar
Saifullah Bangash
Sajjad Ali
Salman Butt
Salman Fayyaz
Sarfraz Ahmed
Shahid Afridi
Shahid Yousuf
Shahnawaz Dhani
Shahzaib Hasan
Shakeel Ansar
Shakib Al Hasan
Shawaiz Irfan
Shoaib Malik
Sohaib Maqsood
Sohaibullah
Sohail Akhtar
Sohail Khan
Sohail Tanvir
Sufiyan Muqeem
T Banton
T Kohler-Cadmore
T Shamsi
TA Lammonby
TH David
TJ Moores
TL Seifert
TS Mills
Tamim Iqbal
Tayyab Abbas
UT Khawaja
Umaid Asif
Umair Masood
Umar Akmal
Umar Amin
Umar Gul
Umar Siddiq
Umer Khan
Usman Qadir
Usman Shinwari
WCF Smeed
WD Parnell
WG Jacks
WIA Fernando
WL Madsen
Wahab Riaz
Waqar Salamkheil
Waqas Maqsood
Yasir Shah
Zafar Gohar
Zahid Mahmood
Zahir Khan
Zahoor Khan
Zaman Khan
Zeeshan Ashraf
Zeeshan Zameer
Zia-ul-Haq
Zohaib Khan
Zulfiqar Babar
